id,organization_id,name,specifications,default_unit_cost,active,created_at,updated_at,item_name,item_code,unit,default_cost,minimum_stock_level,is_active,asset_type_id,issue_type_id
f0357f74-774a-4092-a147-910f632881e5,00000000-0000-0000-0000-000000000001,Health Fossit,ordinary,0,true,2026-04-24 13:11:45.31974+00,2026-04-24 13:11:45.31974+00,Health Fossit,null,pcs,0,0,true,null,a25aca1b-211b-41d3-ab08-78bd2b9541e8
386a2645-0713-48d7-bbd5-3611ceea7ed5,00000000-0000-0000-0000-000000000001,caustic soda,2kg,0,true,2026-06-03 04:36:38.112766+00,2026-06-03 04:36:38.112766+00,caustic soda,null,pcs,0,0,true,null,a25aca1b-211b-41d3-ab08-78bd2b9541e8
e7f9f70f-daee-4b34-9de2-011a1a78ea16,00000000-0000-0000-0000-000000000001,filter span,null,0,true,2026-07-16 07:17:28.964172+00,2026-07-16 07:17:28.964172+00,filter span,null,pcs,0,0,true,b1000000-0000-0000-0000-000000000007,01208ba1-4225-4a61-be39-3afe03dad690
a01459dd-8d69-43af-8c1e-f345fffb1667,00000000-0000-0000-0000-000000000001,Cable Grommet,Standard,150,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Cable Grommet,null,pcs,150,1,true,b1000000-0000-0000-0000-000000000015,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
a146d1e5-3706-41db-8d42-f7a8fc54a83d,00000000-0000-0000-0000-000000000001,Drawer Channel (Bedside Table),Standard,250,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Drawer Channel (Bedside Table),null,pcs,250,1,true,b1000000-0000-0000-0000-000000000019,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
346b4e19-a7cc-47cb-9f7f-67b87102aabc,00000000-0000-0000-0000-000000000001,Capacitor (2.5 µF),2.5 µF,150,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Capacitor (2.5 µF),null,pcs,150,1,true,b1000000-0000-0000-0000-000000000020,28158382-d5c1-436c-927b-3e3d9855c2af
78d44c1b-6a42-4b8d-9883-cb56817ea6f8,00000000-0000-0000-0000-000000000001,Seat Cover (Standard Soft Close),Standard Soft Close,800,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Seat Cover (Standard Soft Close),null,pcs,800,1,true,094f91af-d43e-4261-bcdc-4b25c9def229,a25aca1b-211b-41d3-ab08-78bd2b9541e8
2c334f29-895e-4c3b-a26a-b68cc4ec9f39,00000000-0000-0000-0000-000000000001,Health Faucet Set (With Hose),With Hose,400,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Health Faucet Set (With Hose),null,pcs,400,1,true,612c3a33-b459-4c02-b424-d2bca010aa7e,a25aca1b-211b-41d3-ab08-78bd2b9541e8
9cefb4ff-6f69-451c-b670-f8521d864cb4,00000000-0000-0000-0000-000000000001,Hose Pipe (1-1.5 meter),1-1.5 meter,200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Hose Pipe (1-1.5 meter),null,pcs,200,1,true,612c3a33-b459-4c02-b424-d2bca010aa7e,a25aca1b-211b-41d3-ab08-78bd2b9541e8
b5837c15-2ad9-4852-9ffb-6b2223f5490b,00000000-0000-0000-0000-000000000001,Flush Tank Kit,Standard,1200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Flush Tank Kit,null,pcs,1200,1,true,6d96fdf9-3877-4f18-bc7c-3f080fa045ab,a25aca1b-211b-41d3-ab08-78bd2b9541e8
02fe6ad6-5834-4be0-a1a1-f5891a586366,00000000-0000-0000-0000-000000000001,Flush Valve,Standard,400,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Flush Valve,null,pcs,400,1,true,6d96fdf9-3877-4f18-bc7c-3f080fa045ab,a25aca1b-211b-41d3-ab08-78bd2b9541e8
62a7ea2a-2c38-4158-9c16-1b98f3c98884,00000000-0000-0000-0000-000000000001,Wax Ring Seal,Standard,150,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Wax Ring Seal,null,pcs,150,1,true,6d96fdf9-3877-4f18-bc7c-3f080fa045ab,a25aca1b-211b-41d3-ab08-78bd2b9541e8
80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,00000000-0000-0000-0000-000000000001,AC Capacitor (1.5 Ton – 45–60 µF),1.5 Ton – 45–60 µF,500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,AC Capacitor (1.5 Ton – 45–60 µF),null,pcs,500,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
6224027b-f704-4462-970a-68aa3396b9ee,00000000-0000-0000-0000-000000000001,Contactor Relay,Standard,800,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Contactor Relay,null,pcs,800,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
60e90280-47b4-4b5d-9bdc-f2017a61e250,00000000-0000-0000-0000-000000000001,Thermostat Sensor,Standard,500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Thermostat Sensor,null,pcs,500,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
