id,organization_id,code,name,account_type,normal_balance,parent_id,is_active,requires_party,requires_allotment,party_kind,description,created_at
77c0392f-738b-43d7-ba2a-4ac5fb9076b8,00000000-0000-0000-0000-000000000001,5250,Maintenance - Civil & Painting,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
352a23d7-2965-4e8b-95e3-d5b3d4642127,00000000-0000-0000-0000-000000000001,5260,Maintenance - HVAC,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
06a9a45d-cb31-4c49-817f-b51fa6e29c1c,00000000-0000-0000-0000-000000000001,5270,Maintenance - Pest Control,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
fe7e339f-0da9-4f80-a19a-28125bfafa3d,00000000-0000-0000-0000-000000000001,5290,Maintenance - Other,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
e14dc7ef-27ac-4607-bf13-591d5669f913,00000000-0000-0000-0000-000000000001,5300,Housekeeping & Cleaning,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
b7d6cad9-bb70-4fae-b489-15f9e9df0aaa,00000000-0000-0000-0000-000000000001,5310,Housekeeping - Salaries,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,true,false,false,null,null,2026-04-25 10:03:17.881395+00
f23b366d-2edc-464b-8b59-4fe687c6e821,00000000-0000-0000-0000-000000000001,5320,Housekeeping - Supplies,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,true,false,false,null,null,2026-04-25 10:03:17.881395+00
6c957028-7068-45de-9b53-686174f20570,00000000-0000-0000-0000-000000000001,5330,Housekeeping - Contract,EXPENSE,DEBIT,e14dc7ef-27ac-4607-bf13-591d5669f913,true,false,false,null,null,2026-04-25 10:03:17.881395+00
ff4ffd1d-0514-4c88-b9de-33a00fd3991e,00000000-0000-0000-0000-000000000001,5400,Utilities,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
0ddeb20d-402d-4e2a-9172-80b54abc6aea,00000000-0000-0000-0000-000000000001,5410,Utilities - Electricity (common),EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,true,false,false,null,null,2026-04-25 10:03:17.881395+00
ee858030-6c55-4801-9e1c-7ad421943a4c,00000000-0000-0000-0000-000000000001,5420,Utilities - Water,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,true,false,false,null,null,2026-04-25 10:03:17.881395+00
c79b9ebe-079d-4b2b-814a-1a3f81a5e0bb,00000000-0000-0000-0000-000000000001,5430,Utilities - Internet/Cable,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,true,false,false,null,null,2026-04-25 10:03:17.881395+00
e44b50b1-e838-4bcf-a7a0-5d72d6ee4d62,00000000-0000-0000-0000-000000000001,5440,Utilities - Gas,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,true,false,false,null,null,2026-04-25 10:03:17.881395+00
207d5b3c-110e-4dc5-b375-6c9b04fb6b97,00000000-0000-0000-0000-000000000001,5500,Property Operations,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
fac50f53-b93a-4509-ab45-8cc20fb7e4e2,00000000-0000-0000-0000-000000000001,5510,Property Tax,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,true,false,false,null,null,2026-04-25 10:03:17.881395+00
a9434a2f-f2c3-4e10-b34a-2d102df9a5f9,00000000-0000-0000-0000-000000000001,5520,Water Tax,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,true,false,false,null,null,2026-04-25 10:03:17.881395+00
331b158d-0274-4fb2-a91a-e90002141c99,00000000-0000-0000-0000-000000000001,5530,Insurance,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,true,false,false,null,null,2026-04-25 10:03:17.881395+00
