organization_id,property_id,month,account_code,account_name,expense
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5900,Other Expenses,36946.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-06-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-06-01,5100,Owner Rent Expense,233000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5800,Marketing & Tenant Acquisition,1000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-01-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5290,Maintenance - Other,1500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-11-01,5260,Maintenance - HVAC,8000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5800,Marketing & Tenant Acquisition,5000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-08-01,5100,Owner Rent Expense,233000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5260,Maintenance - HVAC,14150.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5260,Maintenance - HVAC,28810.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5230,Maintenance - Carpentry,509.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5100,Owner Rent Expense,474500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-08-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-09-01,5630,Bank Charges & CC Fees,-53.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-03-01,5260,Maintenance - HVAC,21000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-08-01,5240,Maintenance - Appliances,2200.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-07-01,5260,Maintenance - HVAC,5700.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-10-01,5260,Maintenance - HVAC,44800.00
