name,dashboard_locality,property_type,segment,is_operator_or_aggregator,reject_as_pricing_source,is_self,is_existing_in_pool,is_new,dist_km_from_vishful,distance_precision,within_1km,within_2km,within_3km,within_5km,verified_first_party,official_url,monthly_price,price_confidence,source_url,evidence,name_source,collection_date
Zara Co-Living Space - Men's PG/ Thoraipakkam,Chennai,co_living,men,False,False,False,True,False,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Vishful Vista Heights,Thiruvanmiyur,unknown,unknown,False,False,True,True,False,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Eden Coliving Space,Chennai,co_living,unknown,False,False,False,True,False,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Green Apple Residency,Perungudi,residential_apartment,unknown,False,False,False,True,False,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,Thiruvanmiyur,hotel,unknown,False,True,False,True,False,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
WHITES INN VANDALUR,Kattankulathur,serviced_apartment,unknown,False,True,False,True,False,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sri Venkata Vishnu Priya Gents Hostel,Kattankulathur,mens_pg,men,False,False,False,True,False,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sri Mahalakshmi PG Accommodation,Perungudi,pg_unknown_gender,unknown,False,False,False,True,False,3.5,suburb_centroid_perungudi,False,False,False,True,True,https://mahalakshmipgaccommodation.com/,,unknown,https://mahalakshmipgaccommodation.com/,own site verified; no price,vishful_dashboard_screenshot,2026-08-14
Aostel - Men's PG/ Hostel in Anna Salai,Chennai,mens_pg,men,False,False,False,True,False,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,Thiruvanmiyur,mens_pg,men,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Stay N Tour Home | Best Rooms In Adyar,Adyar,serviced_apartment,unknown,False,True,False,False,True,1.3,suburb_centroid_adyar,False,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SRK Hostel,Kattankulathur,pg_unknown_gender,unknown,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Riya Ladies PG,Perungudi,womens_pg,women,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Venkat Ramana PG hostel for Gents,Kattankulathur,mens_pg,men,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Bhavani pg,Thiruvanmiyur,pg_unknown_gender,unknown,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
TSP PG ACCOMADTION,Thiruvanmiyur,pg_unknown_gender,unknown,False,False,False,True,False,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,True,https://tsppgaccommodation.com/,,unknown,https://tsppgaccommodation.com/,own site verified; no public price,vishful_dashboard_screenshot,2026-08-14
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),Thiruvanmiyur,mens_pg,men,True,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sri Sai Balaji Ladies PG,Perungudi,womens_pg,women,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
