property_name,universe_version,operator_source_type,property_type,gender,locality,locality_group,distance_km,distance_precision,source_evidence_type,source_platform,source_url,price_status,verification_status,provenance
Kushi Enclave,v1,independent,residential_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Lancor Sonnet Square,v1,operator:Lancor,residential_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
MCity Elite Suites,v1,independent,serviced_apartment,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Maayaas Stay Ladies Hostel,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
NESTORA CO-LIVING PG,v1,operator:operator,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
OLive Inn PG for Men,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Oester Hostel for Boys,v1,independent,mens_pg,men,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Olympia Jayanthi Residences,v1,operator:Olympia,residential_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Oragadam Rooms,v1,independent,unknown,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Raga's PG (Paying Guest) Boy's Hostel,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SMS Gents Hostel,v1,independent,mens_pg,men,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SMS LADIES HOSTEL,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SRK Hostel,v1,independent,pg_unknown_gender,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SRP The Pavilion,v1,independent,unknown,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
SV PG Accommodation,v1,independent,pg_unknown_gender,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,identity_ambiguous_possible_out_of_area,phase3_market_spec baseline (v1)
SVH Gents PG,v1,independent,pg_unknown_gender,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Sabari Residency,v1,independent,residential_apartment,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sai Balaji pg hostel for ladies,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sri Maha Hostels (Ladies),v1,independent,pg_unknown_gender,women,"Kamaraj Nagar, Thiruvanmiyur","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Sri Sai Grn Men's Pg & Hostel,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sri Venkata Vishnu Priya Gents Hostel,v1,independent,mens_pg,men,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Sri Venkateswara mens kR hostel/PG,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Stanza Living,v1,operator:Stanza Living,co_living,unknown,"Thiruvanmiyur, Chennai","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Stanza Living Conway House | Coliving PG in Navalur,v1,operator:Stanza Living,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Stanza Living Fernley House | Coliving PG in Urapakkam,v1,operator:Stanza Living,co_living,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
StayBro Co-Living Spaces,v1,independent,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Sumathi Illam,v1,independent,pg_unknown_gender,men,,Unknown,,unknown_locality,first_party_or_verified,,,first_party_room_class_excluded,verified_real_first_party_site,phase3_market_spec baseline (v1)
THE SHIVAM LIVING PG FOR MEN'S,v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
The Royal Inn Gents PG,v1,independent,mens_pg,men,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
The Royal Inn Ladies PG,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
The Royal Inn Ladies Pg (Maple Nest),v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Tidel Hostel (Co-ed),v1,independent,pg_unknown_gender,co-ed,"Kamaraj Nagar West, Thiruvanmiyur","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Triples Men's PG,v1,independent,pg_unknown_gender,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Truliv Hercules - Co-living space & PG in Navalur,v1,operator:Truliv,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
VJB APARTMENT (PG Sholinganallur / AC PG for Men ),v1,independent,mens_pg,men,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
VJB House PG,v1,independent,pg_unknown_gender,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
VSTAY INN PG FOR LADIES,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Venkat Ramana PG Hostel for Ladies,v1,independent,womens_pg,women,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Venkat Ramana PG hostel for Gents,v1,independent,mens_pg,men,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
WHITES INN Nearby Kilambakkam New Bus Terminal,v1,independent,serviced_apartment,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
WHITES INN VANDALUR,v1,independent,serviced_apartment,unknown,Kattankulathur,"Kattankulathur, Chennai",,coarse_far_>5km,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
Wowlife Coliving - HerNest,v1,operator:WowLife,co_living,women,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Yube1 Capital League - PG in Porur | Coliving PG,v1,operator:Yube1,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Liberty League,v1,operator:Yube1,co_living,unknown,"Thiruvanmiyur, Chennai","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Yube1 Madras League - PG in Chetpet | Coliving PG,v1,operator:Yube1,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,v1,operator:Yube1,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Sarmani,v1,operator:Yube1,unknown,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Yube1 Zen League - PG in Thoraipakkam | Coliving PG,v1,operator:Yube1,co_living,unknown,Chennai,Chennai (area unspecified),,unknown_locality,first_party_or_verified,,,unknown,verified_operator_site_rejected,phase3_market_spec baseline (v1)
Zara Co-Living Space - Men's PG/ Thoraipakkam,v1,independent,co_living,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Zara co-living Space - Men's PG / Valasarvakkam,v1,independent,co_living,men,Chennai,Chennai (area unspecified),,unknown_locality,unknown,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Zolo,v1,operator:Zolo,co_living,unknown,"Thiruvanmiyur, Chennai","Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,groq_discovered,phase3_market_spec baseline (v1)
Kayal Ladies Hostel,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Kayal-Ladies-Hostel-Upstairs-Of-Poorvika-Opposite-To-Rto-Thiruvanmiyur/044PXX44-XX44-231013220151-N8R8_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Sivasakthi Ladies Hostel Pg,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Sivasakthi-Ladies-Hostel-Pg-Near-Thiruvanmiyur-Post-Office-Thiruvanmiyur/044PXX44-XX44-130719193027-Q9H4_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Le Royal Pg For Ladies,v2,independent,pg,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),third_party_platform_listing,Justdial,https://www.justdial.com/Chennai/Le-Royal-PG-for-Ladies-Near-Thiruvanmiyur-post-office-Thiruvanmiyur/044PXX44-XX44-160218150221-V6H8_BZDET,UNKNOWN,v2_verified_identity,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
